id;name;nutritionist_id;customer_id;menu_group_id;notes;created_date
1;Market Avon deposit;97772;69678;20802;transmitter;2022-11-11
2;Assistant;42267;13968;64158;analyzing Avon infrastructures;2022-11-11
3;Card SDD;47358;98417;22828;Direct Directives Associate;2022-11-10
4;Health mission-critical Vista;75226;57398;73078;Communications technologies;2022-11-11
5;Plastic;52571;57112;49559;Assistant Auto;2022-11-11
6;Soft Park;68410;61662;36568;Toys compressing;2022-11-11
7;maroon alarm;42711;18467;23010;Soft ADP Kwanza;2022-11-10
8;Generic Guinea Cloned;82100;17713;65511;China Account Lead;2022-11-11
9;support North holistic;18101;78339;74089;drive Home;2022-11-11
10;Pants Tactics;91853;56161;34300;reboot Assurance;2022-11-11
